Date,Day of Week,Visitor Type,Number of Visitors,Avg Stay Duration (hrs),Revenue Generated ($),Weather Condition
5/2/2024,Thursday,One-day visit,140,1.9,2004.8,Stormy
5/2/2024,Thursday,Camping,492,3.9,3330.84,Stormy
5/2/2024,Thursday,RV Center,138,4.5,1907.16,Stormy
5/3/2024,Friday,One-day visit,140,2.6,1569.4,Rainy
5/3/2024,Friday,Camping,461,5,8298,Rainy
5/3/2024,Friday,RV Center,423,4.9,3396.69,Rainy
5/4/2024,Saturday,One-day visit,450,5,8302.5,Sunny
5/4/2024,Saturday,Camping,436,2.3,5903.44,Sunny
5/4/2024,Saturday,RV Center,257,3.4,4836.74,Sunny
5/5/2024,Sunday,One-day visit,58,3.8,406,Snowy
5/5/2024,Sunday,Camping,391,4.6,2912.95,Snowy
5/5/2024,Sunday,RV Center,126,1.3,753.48,Snowy
5/6/2024,Monday,One-day visit,498,4.7,3889.38,Sunny
5/6/2024,Monday,Camping,100,1.3,620,Sunny
5/6/2024,Monday,RV Center,294,4.5,3722.04,Sunny
5/7/2024,Tuesday,One-day visit,249,4.6,2898.36,Stormy
5/7/2024,Tuesday,Camping,373,4,5169.78,Stormy
5/7/2024,Tuesday,RV Center,81,3.5,1591.65,Stormy
5/8/2024,Wednesday,One-day visit,395,1.6,7161.35,Cloudy
5/8/2024,Wednesday,Camping,50,4.3,405,Cloudy
5/8/2024,Wednesday,RV Center,76,2.6,1080.72,Cloudy
5/9/2024,Thursday,One-day visit,334,3.1,5514.34,Rainy
5/9/2024,Thursday,Camping,24,4.8,472.8,Rainy
5/9/2024,Thursday,RV Center,393,4.1,4519.5,Rainy
5/10/2024,Friday,One-day visit,411,3.9,7434.99,Rainy
5/10/2024,Friday,Camping,160,4.4,2801.6,Rainy
5/10/2024,Friday,RV Center,135,5,2110.05,Rainy
5/11/2024,Saturday,One-day visit,421,4.2,8112.67,Sunny
5/11/2024,Saturday,Camping,462,4.5,7456.68,Sunny
5/11/2024,Saturday,RV Center,257,1.1,3084,Sunny
5/12/2024,Sunday,One-day visit,376,2.1,2635.76,Sunny
5/12/2024,Sunday,Camping,302,1.9,1920.72,Sunny
5/12/2024,Sunday,RV Center,223,4.7,2339.27,Sunny
5/13/2024,Monday,One-day visit,245,1.5,1876.7,Sunny
5/13/2024,Monday,Camping,457,1.1,8614.45,Sunny
5/13/2024,Monday,RV Center,90,4,1595.7,Sunny
5/14/2024,Tuesday,One-day visit,500,2.3,8995,Rainy
5/14/2024,Tuesday,Camping,404,1.4,2076.56,Rainy
5/14/2024,Tuesday,RV Center,73,4.9,575.24,Rainy
5/15/2024,Wednesday,One-day visit,396,1.2,5567.76,Snowy
5/15/2024,Wednesday,Camping,325,4.7,5720,Snowy
5/15/2024,Wednesday,RV Center,344,2,2236,Snowy
5/16/2024,Thursday,One-day visit,398,3,6702.32,Rainy
5/16/2024,Thursday,Camping,277,3.8,4373.83,Rainy
5/16/2024,Thursday,RV Center,266,1.7,1909.88,Rainy
5/17/2024,Friday,One-day visit,63,4,389.34,Sunny
5/17/2024,Friday,Camping,322,1.8,6388.48,Sunny
5/17/2024,Friday,RV Center,462,3.2,8791.86,Sunny
5/18/2024,Saturday,One-day visit,403,4.5,7435.35,Sunny
5/18/2024,Saturday,Camping,315,2.3,2857.05,Sunny
5/18/2024,Saturday,RV Center,486,1.1,3703.32,Sunny
5/19/2024,Sunday,One-day visit,350,1.3,4714.5,Sunny
5/19/2024,Sunday,Camping,446,4.5,2586.8,Sunny
5/19/2024,Sunday,RV Center,41,1.9,480.52,Sunny
5/20/2024,Monday,One-day visit,37,2.6,193.14,Sunny
5/20/2024,Monday,Camping,479,3.2,3127.87,Sunny
5/20/2024,Monday,RV Center,352,4.9,5586.24,Sunny
5/21/2024,Tuesday,One-day visit,275,3.8,4611.75,Snowy
5/21/2024,Tuesday,Camping,138,2.1,1070.88,Snowy
5/21/2024,Tuesday,RV Center,241,2.9,1662.9,Snowy
5/22/2024,Wednesday,One-day visit,124,1,1633.08,Sunny
5/22/2024,Wednesday,Camping,118,3.9,1412.46,Sunny
5/22/2024,Wednesday,RV Center,145,4.9,2067.7,Sunny
5/23/2024,Thursday,One-day visit,434,2,5060.44,Cloudy
5/23/2024,Thursday,Camping,361,2.4,2754.43,Cloudy
5/23/2024,Thursday,RV Center,61,1.8,751.52,Cloudy
5/24/2024,Friday,One-day visit,156,4.7,2725.32,Sunny
5/24/2024,Friday,Camping,261,4.2,2487.33,Sunny
5/24/2024,Friday,RV Center,405,4.2,6694.65,Sunny
5/25/2024,Saturday,One-day visit,294,2.5,2795.94,Stormy
5/25/2024,Saturday,Camping,461,4.7,2401.81,Stormy
5/25/2024,Saturday,RV Center,106,4.4,1523.22,Stormy
5/26/2024,Sunday,One-day visit,456,2.6,4892.88,Rainy
5/26/2024,Sunday,Camping,337,3.8,4593.31,Rainy
5/26/2024,Sunday,RV Center,111,4.6,878.01,Rainy
5/27/2024,Monday,One-day visit,447,2.9,7661.58,Sunny
5/27/2024,Monday,Camping,406,3.5,4660.88,Sunny
5/27/2024,Monday,RV Center,496,2.1,8565.92,Sunny
5/28/2024,Tuesday,One-day visit,422,2.7,2240.82,Sunny
5/28/2024,Tuesday,Camping,170,1.4,3366,Sunny
5/28/2024,Tuesday,RV Center,359,2.2,5873.24,Sunny
5/29/2024,Wednesday,One-day visit,438,3.6,8444.64,Rainy
5/29/2024,Wednesday,Camping,53,2.1,852.77,Rainy
5/29/2024,Wednesday,RV Center,126,3.5,2294.46,Rainy
5/30/2024,Thursday,One-day visit,241,2.4,3135.41,Cloudy
5/30/2024,Thursday,Camping,174,3.1,1451.16,Cloudy
5/30/2024,Thursday,RV Center,279,4,3836.25,Cloudy
5/31/2024,Friday,One-day visit,451,3.8,2557.17,Stormy
5/31/2024,Friday,Camping,448,2.4,6213.76,Stormy
5/31/2024,Friday,RV Center,342,3.1,3686.76,Stormy
6/1/2024,Saturday,One-day visit,293,3.9,5197.82,Cloudy
6/1/2024,Saturday,Camping,340,2.7,2801.6,Cloudy
6/1/2024,Saturday,RV Center,365,3.6,4880.05,Cloudy
6/2/2024,Sunday,One-day visit,144,2.3,2638.08,Sunny
6/2/2024,Sunday,Camping,460,3.1,9006.8,Sunny
6/2/2024,Sunday,RV Center,14,4.8,114.8,Sunny
6/3/2024,Monday,One-day visit,476,2.7,8501.36,Sunny
6/3/2024,Monday,Camping,354,1.9,5133,Sunny
6/3/2024,Monday,RV Center,387,4.6,3866.13,Sunny
6/4/2024,Tuesday,One-day visit,321,2.7,1707.72,Stormy
6/4/2024,Tuesday,Camping,441,3.9,5111.19,Stormy
6/4/2024,Tuesday,RV Center,454,4.1,6646.56,Stormy
6/5/2024,Wednesday,One-day visit,179,3.9,2881.9,Rainy
6/5/2024,Wednesday,Camping,120,4,1324.8,Rainy
6/5/2024,Wednesday,RV Center,347,4.4,4802.48,Rainy
6/6/2024,Thursday,One-day visit,279,3.3,5420.97,Sunny
6/6/2024,Thursday,Camping,382,4.8,6497.82,Sunny
6/6/2024,Thursday,RV Center,394,2.4,6170.04,Sunny
6/7/2024,Friday,One-day visit,488,1.3,6944.24,Rainy
6/7/2024,Friday,Camping,31,2,451.36,Rainy
6/7/2024,Friday,RV Center,297,2.5,3388.77,Rainy
6/8/2024,Saturday,One-day visit,495,2.4,5657.85,Rainy
6/8/2024,Saturday,Camping,240,4.4,4068,Rainy
6/8/2024,Saturday,RV Center,404,3.1,2860.32,Rainy
6/9/2024,Sunday,One-day visit,383,4,3527.43,Rainy
6/9/2024,Sunday,Camping,126,1.5,1096.2,Rainy
6/9/2024,Sunday,RV Center,50,1.6,880,Rainy
6/10/2024,Monday,One-day visit,191,2.9,1119.26,Snowy
6/10/2024,Monday,Camping,139,1.9,966.05,Snowy
6/10/2024,Monday,RV Center,406,3.2,7405.44,Snowy
6/11/2024,Tuesday,One-day visit,333,3,4012.65,Sunny
6/11/2024,Tuesday,Camping,443,3.6,5648.25,Sunny
6/11/2024,Tuesday,RV Center,186,3.4,3052.26,Sunny
6/12/2024,Wednesday,One-day visit,167,1.3,3216.42,Snowy
6/12/2024,Wednesday,Camping,284,2.4,2482.16,Snowy
6/12/2024,Wednesday,RV Center,180,1.8,1958.4,Snowy
6/13/2024,Thursday,One-day visit,405,3.9,7950.15,Snowy
6/13/2024,Thursday,Camping,409,2,4249.51,Snowy
6/13/2024,Thursday,RV Center,17,2.1,200.77,Snowy
6/14/2024,Friday,One-day visit,274,1.5,3474.32,Rainy
6/14/2024,Friday,Camping,499,3.1,7345.28,Rainy
6/14/2024,Friday,RV Center,252,4.8,2383.92,Rainy
6/15/2024,Saturday,One-day visit,363,1.3,2526.48,Snowy
6/15/2024,Saturday,Camping,452,3.8,4289.48,Snowy
6/15/2024,Saturday,RV Center,435,3.5,5411.4,Snowy
6/16/2024,Sunday,One-day visit,197,2.3,1918.78,Cloudy
6/16/2024,Sunday,Camping,259,2.5,2222.22,Cloudy
6/16/2024,Sunday,RV Center,54,2.4,787.86,Cloudy
6/17/2024,Monday,One-day visit,367,2.7,5138,Stormy
6/17/2024,Monday,Camping,305,3,5197.2,Stormy
6/17/2024,Monday,RV Center,214,4.1,3081.6,Stormy
6/18/2024,Tuesday,One-day visit,451,1.7,8659.2,Cloudy
6/18/2024,Tuesday,Camping,390,3.7,1969.5,Cloudy
6/18/2024,Tuesday,RV Center,261,4.3,1973.16,Cloudy
6/19/2024,Wednesday,One-day visit,177,2.6,2067.36,Snowy
6/19/2024,Wednesday,Camping,219,3.8,1504.53,Snowy
6/19/2024,Wednesday,RV Center,243,4,2823.66,Snowy
6/20/2024,Thursday,One-day visit,346,2,4709.06,Cloudy
6/20/2024,Thursday,Camping,93,2.2,1246.2,Cloudy
6/20/2024,Thursday,RV Center,209,4.3,1845.47,Cloudy
6/21/2024,Friday,One-day visit,224,1.6,4197.76,Rainy
6/21/2024,Friday,Camping,210,4.2,1898.4,Rainy
6/21/2024,Friday,RV Center,88,4.8,1250.48,Rainy
6/22/2024,Saturday,One-day visit,209,2.2,2704.46,Cloudy
6/22/2024,Saturday,Camping,345,2.8,2608.2,Cloudy
6/22/2024,Saturday,RV Center,317,1.5,6200.52,Cloudy
6/23/2024,Sunday,One-day visit,48,4.3,705.12,Rainy
6/23/2024,Sunday,Camping,258,4.1,4001.58,Rainy
6/23/2024,Sunday,RV Center,263,1.5,1791.03,Rainy
6/24/2024,Monday,One-day visit,307,3.9,3978.72,Sunny
6/24/2024,Monday,Camping,490,3.9,5287.1,Sunny
6/24/2024,Monday,RV Center,149,4.5,1621.12,Sunny
6/25/2024,Tuesday,One-day visit,241,4,3937.94,Rainy
6/25/2024,Tuesday,Camping,187,3.2,2988.26,Rainy
6/25/2024,Tuesday,RV Center,14,4.5,101.22,Rainy
6/26/2024,Wednesday,One-day visit,440,3.5,2552,Sunny
6/26/2024,Wednesday,Camping,73,1.3,1069.45,Sunny
6/26/2024,Wednesday,RV Center,453,3,6618.33,Sunny
6/27/2024,Thursday,One-day visit,204,1,2411.28,Stormy
6/27/2024,Thursday,Camping,103,4.2,1523.37,Stormy
6/27/2024,Thursday,RV Center,107,2,637.72,Stormy
6/28/2024,Friday,One-day visit,499,3.7,8597.77,Sunny
6/28/2024,Friday,Camping,80,4.4,724.8,Sunny
6/28/2024,Friday,RV Center,472,1.7,9043.52,Sunny
6/29/2024,Saturday,One-day visit,82,4.3,704.38,Sunny
6/29/2024,Saturday,Camping,194,4.9,1854.64,Sunny
6/29/2024,Saturday,RV Center,170,1.8,2244,Sunny
6/30/2024,Sunday,One-day visit,181,2.9,1536.69,Stormy
6/30/2024,Sunday,Camping,493,3.4,5911.07,Stormy
6/30/2024,Sunday,RV Center,114,2.7,1826.28,Stormy
7/1/2024,Monday,One-day visit,200,2.3,1092,Snowy
7/1/2024,Monday,Camping,229,2.5,2530.45,Snowy
7/1/2024,Monday,RV Center,370,4.2,3496.5,Snowy
7/2/2024,Tuesday,One-day visit,65,3.6,1036.75,Rainy
7/2/2024,Tuesday,Camping,316,1.6,2505.88,Rainy
7/2/2024,Tuesday,RV Center,346,3.1,5798.96,Rainy
7/3/2024,Wednesday,One-day visit,191,3.5,1468.79,Stormy
7/3/2024,Wednesday,Camping,74,3.4,403.3,Stormy
7/3/2024,Wednesday,RV Center,214,1.4,3956.86,Stormy
7/4/2024,Thursday,One-day visit,192,4.5,3325.44,Cloudy
7/4/2024,Thursday,Camping,350,3.5,6601,Cloudy
7/4/2024,Thursday,RV Center,47,4.1,367.54,Cloudy
7/5/2024,Friday,One-day visit,492,2.5,3207.84,Stormy
7/5/2024,Friday,Camping,12,3.8,97.68,Stormy
7/5/2024,Friday,RV Center,239,1.7,3921.99,Stormy
7/6/2024,Saturday,One-day visit,196,4.6,3235.96,Stormy
7/6/2024,Saturday,Camping,68,2.4,492.32,Stormy
7/6/2024,Saturday,RV Center,488,4,4797.04,Stormy
7/7/2024,Sunday,One-day visit,218,2.5,3058.54,Cloudy
7/7/2024,Sunday,Camping,328,4.5,6104.08,Cloudy
7/7/2024,Sunday,RV Center,335,2.2,6619.6,Cloudy
7/8/2024,Monday,One-day visit,106,4.7,1358.92,Cloudy
7/8/2024,Monday,Camping,216,4.5,3227.04,Cloudy
7/8/2024,Monday,RV Center,145,4,1774.8,Cloudy
7/9/2024,Tuesday,One-day visit,442,2,5029.96,Cloudy
7/9/2024,Tuesday,Camping,297,4.2,5880.6,Cloudy
7/9/2024,Tuesday,RV Center,229,4.6,1575.52,Cloudy
7/10/2024,Wednesday,One-day visit,230,4.1,2640.4,Rainy
7/10/2024,Wednesday,Camping,450,4.2,5526,Rainy
7/10/2024,Wednesday,RV Center,304,3.6,4240.8,Rainy
7/11/2024,Thursday,One-day visit,257,4.1,2009.74,Snowy
7/11/2024,Thursday,Camping,86,3.7,530.62,Snowy
7/11/2024,Thursday,RV Center,86,1.4,1302.04,Snowy
7/12/2024,Friday,One-day visit,56,1.9,870.8,Stormy
7/12/2024,Friday,Camping,185,4.1,1320.9,Stormy
7/12/2024,Friday,RV Center,199,4.5,2304.42,Stormy
7/13/2024,Saturday,One-day visit,163,3.1,1621.85,Stormy
7/13/2024,Saturday,Camping,482,2.1,8555.5,Stormy
7/13/2024,Saturday,RV Center,433,4.4,6854.39,Stormy
7/14/2024,Sunday,One-day visit,434,1.2,7825.02,Sunny
7/14/2024,Sunday,Camping,210,4.4,1795.5,Sunny
7/14/2024,Sunday,RV Center,438,2.9,2623.62,Sunny
7/15/2024,Monday,One-day visit,409,4.3,3631.92,Sunny
7/15/2024,Monday,Camping,54,3.3,869.94,Sunny
7/15/2024,Monday,RV Center,393,4.3,4570.59,Sunny
7/16/2024,Tuesday,One-day visit,451,2.1,4320.58,Rainy
7/16/2024,Tuesday,Camping,217,3.4,4114.32,Rainy
7/16/2024,Tuesday,RV Center,261,2.4,3105.9,Rainy
7/17/2024,Wednesday,One-day visit,170,4.4,1054,Rainy
7/17/2024,Wednesday,Camping,50,3.8,331.5,Rainy
7/17/2024,Wednesday,RV Center,419,2.2,7885.58,Rainy
7/18/2024,Thursday,One-day visit,399,3.5,7696.71,Rainy
7/18/2024,Thursday,Camping,328,4.7,3709.68,Rainy
7/18/2024,Thursday,RV Center,327,3.1,5800.98,Rainy
7/19/2024,Friday,One-day visit,243,4.8,2595.24,Cloudy
7/19/2024,Friday,Camping,430,4.2,2726.2,Cloudy
7/19/2024,Friday,RV Center,130,3,1495,Cloudy
7/20/2024,Saturday,One-day visit,417,4.3,4015.71,Cloudy
7/20/2024,Saturday,Camping,111,4.2,905.76,Cloudy
7/20/2024,Saturday,RV Center,498,1.3,4068.66,Cloudy
7/21/2024,Sunday,One-day visit,86,3.8,877.2,Stormy
7/21/2024,Sunday,Camping,483,3.9,4293.87,Stormy
7/21/2024,Sunday,RV Center,100,4.3,1604,Stormy
7/22/2024,Monday,One-day visit,56,4.2,539.84,Stormy
7/22/2024,Monday,Camping,349,2.3,3828.53,Stormy
7/22/2024,Monday,RV Center,120,1.2,1244.4,Stormy
7/23/2024,Tuesday,One-day visit,369,1.5,4236.12,Cloudy
7/23/2024,Tuesday,Camping,37,3.3,542.05,Cloudy
7/23/2024,Tuesday,RV Center,310,2.5,3865.7,Cloudy
7/24/2024,Wednesday,One-day visit,61,1.5,1093.73,Sunny
7/24/2024,Wednesday,Camping,60,4.7,1005.6,Sunny
7/24/2024,Wednesday,RV Center,453,2.1,6237.81,Sunny
7/25/2024,Thursday,One-day visit,216,2.7,4013.28,Stormy
7/25/2024,Thursday,Camping,443,2.3,5426.75,Stormy
7/25/2024,Thursday,RV Center,309,1.1,5209.74,Stormy
7/26/2024,Friday,One-day visit,132,3.4,772.2,Snowy
7/26/2024,Friday,Camping,392,2.7,6389.6,Snowy
7/26/2024,Friday,RV Center,404,4,3611.76,Snowy
7/27/2024,Saturday,One-day visit,267,4.2,2443.05,Rainy
7/27/2024,Saturday,Camping,135,1.1,1262.25,Rainy
7/27/2024,Saturday,RV Center,172,3.2,2232.56,Rainy
7/28/2024,Sunday,One-day visit,293,3.1,4383.28,Cloudy
7/28/2024,Sunday,Camping,128,1.6,2018.56,Cloudy
7/28/2024,Sunday,RV Center,196,3.8,3549.56,Cloudy
7/29/2024,Monday,One-day visit,439,3.8,3621.75,Stormy
7/29/2024,Monday,Camping,52,2.7,925.08,Stormy
7/29/2024,Monday,RV Center,186,3.1,3712.56,Stormy
7/30/2024,Tuesday,One-day visit,413,4.4,4881.66,Rainy
7/30/2024,Tuesday,Camping,454,2.1,3146.22,Rainy
7/30/2024,Tuesday,RV Center,437,1.8,6205.4,Rainy
7/31/2024,Wednesday,One-day visit,437,2.3,7621.28,Cloudy
7/31/2024,Wednesday,Camping,128,1.3,656.64,Cloudy
7/31/2024,Wednesday,RV Center,39,2,328.38,Cloudy
8/1/2024,Thursday,One-day visit,144,2.4,1091.52,Snowy
8/1/2024,Thursday,Camping,33,2.7,540.87,Snowy
8/1/2024,Thursday,RV Center,470,2.6,3529.7,Snowy
8/2/2024,Friday,One-day visit,130,1.2,1047.8,Cloudy
8/2/2024,Friday,Camping,280,2,3021.2,Cloudy
8/2/2024,Friday,RV Center,401,2.5,7522.76,Cloudy
8/3/2024,Saturday,One-day visit,479,4.8,9005.2,Snowy
8/3/2024,Saturday,Camping,438,4.6,3394.5,Snowy
8/3/2024,Saturday,RV Center,462,3.5,3127.74,Snowy
8/4/2024,Sunday,One-day visit,189,3.6,3432.24,Cloudy
8/4/2024,Sunday,Camping,106,1.9,1458.56,Cloudy
8/4/2024,Sunday,RV Center,429,3.6,4311.45,Cloudy
8/5/2024,Monday,One-day visit,394,4.6,2592.52,Snowy
8/5/2024,Monday,Camping,307,3.9,5845.28,Snowy
8/5/2024,Monday,RV Center,201,3.3,3419.01,Snowy
8/6/2024,Tuesday,One-day visit,229,3.6,3162.49,Rainy
8/6/2024,Tuesday,Camping,333,4.4,2927.07,Rainy
8/6/2024,Tuesday,RV Center,165,4.4,938.85,Rainy
8/7/2024,Wednesday,One-day visit,451,3.8,3851.54,Rainy
8/7/2024,Wednesday,Camping,394,1,2891.96,Rainy
8/7/2024,Wednesday,RV Center,373,3,3110.82,Rainy
8/8/2024,Thursday,One-day visit,442,2.4,8557.12,Cloudy
8/8/2024,Thursday,Camping,197,1.7,1499.17,Cloudy
8/8/2024,Thursday,RV Center,306,3.7,2735.64,Cloudy
8/9/2024,Friday,One-day visit,449,1.2,5244.32,Rainy
8/9/2024,Friday,Camping,488,3.6,5494.88,Rainy
8/9/2024,Friday,RV Center,194,1.9,1782.86,Rainy
8/10/2024,Saturday,One-day visit,96,4.4,1675.2,Sunny
8/10/2024,Saturday,Camping,488,4.1,3391.6,Sunny
8/10/2024,Saturday,RV Center,314,1.9,3432.02,Sunny
8/11/2024,Sunday,One-day visit,191,4.4,1787.76,Cloudy
8/11/2024,Sunday,Camping,476,4.6,2537.08,Cloudy
8/11/2024,Sunday,RV Center,359,4.7,2437.61,Cloudy
8/12/2024,Monday,One-day visit,70,4.4,530.6,Cloudy
8/12/2024,Monday,Camping,472,3.2,6570.24,Cloudy
8/12/2024,Monday,RV Center,300,4.7,4272,Cloudy
8/13/2024,Tuesday,One-day visit,102,3.2,1183.2,Snowy
8/13/2024,Tuesday,Camping,309,2.6,3247.59,Snowy
8/13/2024,Tuesday,RV Center,326,4.6,4202.14,Snowy
8/14/2024,Wednesday,One-day visit,284,4,1669.92,Sunny
8/14/2024,Wednesday,Camping,345,4.2,4636.8,Sunny
8/14/2024,Wednesday,RV Center,350,2.3,5530,Sunny
8/15/2024,Thursday,One-day visit,43,1.5,420.54,Cloudy
8/15/2024,Thursday,Camping,267,3.9,1839.63,Cloudy
8/15/2024,Thursday,RV Center,183,2,2591.28,Cloudy
8/16/2024,Friday,One-day visit,163,3.7,1608.81,Cloudy
8/16/2024,Friday,Camping,473,4.2,7383.53,Cloudy
8/16/2024,Friday,RV Center,254,2.2,3185.16,Cloudy
8/17/2024,Saturday,One-day visit,205,2.1,2542,Rainy
8/17/2024,Saturday,Camping,396,4.8,4245.12,Rainy
8/17/2024,Saturday,RV Center,276,2.4,3712.2,Rainy
8/18/2024,Sunday,One-day visit,497,2.6,6644.89,Snowy
8/18/2024,Sunday,Camping,46,2,688.16,Snowy
8/18/2024,Sunday,RV Center,182,4.3,2295.02,Snowy
8/19/2024,Monday,One-day visit,306,2.3,3439.44,Cloudy
8/19/2024,Monday,Camping,375,4.2,5396.25,Cloudy
8/19/2024,Monday,RV Center,408,1.8,7935.6,Cloudy
8/20/2024,Tuesday,One-day visit,111,1.5,650.46,Cloudy
8/20/2024,Tuesday,Camping,141,4.4,2471.73,Cloudy
8/20/2024,Tuesday,RV Center,442,1.6,7301.84,Cloudy
8/21/2024,Wednesday,One-day visit,72,1.5,760.32,Sunny
8/21/2024,Wednesday,Camping,31,1.7,599.54,Sunny
8/21/2024,Wednesday,RV Center,196,1.3,2428.44,Sunny
8/22/2024,Thursday,One-day visit,102,1.9,1675.86,Rainy
8/22/2024,Thursday,Camping,442,4.8,6457.62,Rainy
8/22/2024,Thursday,RV Center,391,2.2,2154.41,Rainy
8/23/2024,Friday,One-day visit,208,4.3,1759.68,Stormy
8/23/2024,Friday,Camping,286,1.2,2545.4,Stormy
8/23/2024,Friday,RV Center,499,1.3,7824.32,Stormy
8/24/2024,Saturday,One-day visit,482,4.3,2593.16,Sunny
8/24/2024,Saturday,Camping,396,1.9,3152.16,Sunny
8/24/2024,Saturday,RV Center,312,1.5,5169.84,Sunny
8/25/2024,Sunday,One-day visit,388,3.3,2374.56,Snowy
8/25/2024,Sunday,Camping,336,3.4,3638.88,Snowy
8/25/2024,Sunday,RV Center,428,2.4,3770.68,Snowy
8/26/2024,Monday,One-day visit,198,3.2,3078.9,Cloudy
8/26/2024,Monday,Camping,123,1.1,932.34,Cloudy
8/26/2024,Monday,RV Center,152,3.2,1802.72,Cloudy
8/27/2024,Tuesday,One-day visit,293,4.4,3744.54,Cloudy
8/27/2024,Tuesday,Camping,491,2.5,5533.57,Cloudy
8/27/2024,Tuesday,RV Center,208,4,2094.56,Cloudy
8/28/2024,Wednesday,One-day visit,341,4.9,3239.5,Stormy
8/28/2024,Wednesday,Camping,75,1.9,1093.5,Stormy
8/28/2024,Wednesday,RV Center,88,3.3,1139.6,Stormy
8/29/2024,Thursday,One-day visit,432,2.5,5019.84,Stormy
8/29/2024,Thursday,Camping,89,2,1101.82,Stormy
8/29/2024,Thursday,RV Center,267,4.5,4717.89,Stormy
8/30/2024,Friday,One-day visit,196,4.1,1891.4,Snowy
8/30/2024,Friday,Camping,472,3.3,6041.6,Snowy
8/30/2024,Friday,RV Center,321,1.1,4490.79,Snowy
8/31/2024,Saturday,One-day visit,448,3,5595.52,Snowy
8/31/2024,Saturday,Camping,17,3.9,147.22,Snowy
8/31/2024,Saturday,RV Center,256,4.4,5053.44,Snowy
9/1/2024,Sunday,One-day visit,436,3.8,5868.56,Stormy
9/1/2024,Sunday,Camping,465,2.6,7342.35,Stormy
