Date,Day of Week,Visitor Type,Number of Visitors,Avg Stay Duration (hrs),Revenue Generated ($),Weather Condition
9/1/2024,Sunday,RV Center,23,1.1,375.13,Stormy
9/2/2024,Monday,One-day visit,172,1.4,1532.52,Rainy
9/2/2024,Monday,Camping,183,3.8,1026.63,Rainy
9/2/2024,Monday,RV Center,415,1.1,7499.05,Rainy
9/3/2024,Tuesday,One-day visit,57,3.7,513,Rainy
9/3/2024,Tuesday,Camping,354,1.3,5122.38,Rainy
9/3/2024,Tuesday,RV Center,337,2.4,4903.35,Rainy
9/4/2024,Wednesday,One-day visit,303,1.9,4772.25,Stormy
9/4/2024,Wednesday,Camping,118,2.7,2334.04,Stormy
9/4/2024,Wednesday,RV Center,388,1.2,5447.52,Stormy
9/5/2024,Thursday,One-day visit,351,4.8,6040.71,Sunny
9/5/2024,Thursday,Camping,368,3.6,3275.2,Sunny
9/5/2024,Thursday,RV Center,286,4,4335.76,Sunny
9/6/2024,Friday,One-day visit,176,4.7,2948,Rainy
9/6/2024,Friday,Camping,473,2.3,8111.95,Rainy
9/6/2024,Friday,RV Center,115,3.7,1649.1,Rainy
9/7/2024,Saturday,One-day visit,82,2.6,1066.82,Sunny
9/7/2024,Saturday,Camping,434,5,3693.34,Sunny
9/7/2024,Saturday,RV Center,95,1.8,983.25,Sunny
9/8/2024,Sunday,One-day visit,78,2.2,1525.68,Sunny
9/8/2024,Sunday,Camping,107,1.8,1315.03,Sunny
9/8/2024,Sunday,RV Center,129,4,1688.61,Sunny
9/9/2024,Monday,One-day visit,38,4,260.68,Rainy
9/9/2024,Monday,Camping,370,3.6,2464.2,Rainy
9/9/2024,Monday,RV Center,53,1.4,899.94,Rainy
9/10/2024,Tuesday,One-day visit,390,1.9,7320.3,Rainy
9/10/2024,Tuesday,Camping,62,3.2,665.26,Rainy
9/10/2024,Tuesday,RV Center,464,3.4,8287.04,Rainy
9/11/2024,Wednesday,One-day visit,199,4.7,1492.5,Snowy
9/11/2024,Wednesday,Camping,449,4.4,7772.19,Snowy
9/11/2024,Wednesday,RV Center,318,5,1790.34,Snowy
9/12/2024,Thursday,One-day visit,378,4.3,1912.68,Stormy
9/12/2024,Thursday,Camping,74,1.1,1433.38,Stormy
9/12/2024,Thursday,RV Center,318,3.6,4455.18,Stormy
9/13/2024,Friday,One-day visit,327,3.6,4990.02,Snowy
9/13/2024,Friday,Camping,67,4.8,693.45,Snowy
9/13/2024,Friday,RV Center,202,1,3005.76,Snowy
9/14/2024,Saturday,One-day visit,442,4.4,2665.26,Snowy
9/14/2024,Saturday,Camping,211,3.4,1833.59,Snowy
9/14/2024,Saturday,RV Center,34,3.7,310.08,Snowy
9/15/2024,Sunday,One-day visit,115,2.4,1012,Cloudy
9/15/2024,Sunday,Camping,265,3.9,1711.9,Cloudy
9/15/2024,Sunday,RV Center,323,4.5,3317.21,Cloudy
9/16/2024,Monday,One-day visit,256,4.1,3279.36,Snowy
9/16/2024,Monday,Camping,291,2.8,3398.88,Snowy
9/16/2024,Monday,RV Center,49,1.4,728.14,Snowy
9/17/2024,Tuesday,One-day visit,135,4.1,1028.7,Sunny
9/17/2024,Tuesday,Camping,151,3.5,1405.81,Sunny
9/17/2024,Tuesday,RV Center,37,3.2,725.57,Sunny
9/18/2024,Wednesday,One-day visit,344,1.6,1771.6,Snowy
9/18/2024,Wednesday,Camping,42,3.3,654.36,Snowy
9/18/2024,Wednesday,RV Center,39,3.1,318.24,Snowy
9/19/2024,Thursday,One-day visit,255,1.2,2521.95,Cloudy
9/19/2024,Thursday,Camping,198,1.1,1401.84,Cloudy
9/19/2024,Thursday,RV Center,119,1.8,1627.92,Cloudy
9/20/2024,Friday,One-day visit,141,2.7,1769.55,Stormy
9/20/2024,Friday,Camping,475,1.6,4465,Stormy
9/20/2024,Friday,RV Center,15,1.6,201.75,Stormy
9/21/2024,Saturday,One-day visit,329,1.7,6155.59,Stormy
9/21/2024,Saturday,Camping,329,4.7,3500.56,Stormy
9/21/2024,Saturday,RV Center,417,4.1,7689.48,Stormy
9/22/2024,Sunday,One-day visit,92,4.9,1838.16,Snowy
9/22/2024,Sunday,Camping,498,1.7,3082.62,Snowy
9/22/2024,Sunday,RV Center,135,4.8,1297.35,Snowy
9/23/2024,Monday,One-day visit,306,3.8,5434.56,Cloudy
9/23/2024,Monday,Camping,424,2.7,3531.92,Cloudy
9/23/2024,Monday,RV Center,343,2.5,6750.24,Cloudy
9/24/2024,Tuesday,One-day visit,32,2.9,636.48,Cloudy
9/24/2024,Tuesday,Camping,375,3,2647.5,Cloudy
9/24/2024,Tuesday,RV Center,165,4.7,2838,Cloudy
9/25/2024,Wednesday,One-day visit,455,1.8,4340.7,Rainy
9/25/2024,Wednesday,Camping,398,3.1,3494.44,Rainy
9/25/2024,Wednesday,RV Center,378,3.7,6796.44,Rainy
9/26/2024,Thursday,One-day visit,116,4.2,1220.32,Rainy
9/26/2024,Thursday,Camping,184,2.3,1948.56,Rainy
9/26/2024,Thursday,RV Center,203,2.3,1341.83,Rainy
9/27/2024,Friday,One-day visit,183,4,3380.01,Sunny
9/27/2024,Friday,Camping,363,2.9,7085.76,Sunny
9/27/2024,Friday,RV Center,417,3,5629.5,Sunny
9/28/2024,Saturday,One-day visit,25,1.6,221.75,Snowy
9/28/2024,Saturday,Camping,229,1.6,3377.75,Snowy
9/28/2024,Saturday,RV Center,21,1.9,256.41,Snowy
9/29/2024,Sunday,One-day visit,247,1.4,4315.09,Snowy
9/29/2024,Sunday,Camping,297,3.6,2619.54,Snowy
9/29/2024,Sunday,RV Center,190,3.8,2812,Snowy
9/30/2024,Monday,One-day visit,100,1,888,Sunny
9/30/2024,Monday,Camping,287,4.9,2072.14,Sunny
9/30/2024,Monday,RV Center,360,4.4,6192,Sunny
10/1/2024,Tuesday,One-day visit,468,3.4,8690.76,Snowy
10/1/2024,Tuesday,Camping,160,4.9,2844.8,Snowy
10/1/2024,Tuesday,RV Center,339,1.9,5271.45,Snowy
10/2/2024,Wednesday,One-day visit,401,1,3300.23,Cloudy
10/2/2024,Wednesday,Camping,239,3.1,2351.76,Cloudy
10/2/2024,Wednesday,RV Center,238,1.9,4452.98,Cloudy
10/3/2024,Thursday,One-day visit,71,5,725.62,Rainy
10/3/2024,Thursday,Camping,73,3.1,786.21,Rainy
10/3/2024,Thursday,RV Center,257,1.5,2757.61,Rainy
10/4/2024,Friday,One-day visit,351,1.9,4798.17,Sunny
10/4/2024,Friday,Camping,270,2,4044.6,Sunny
10/4/2024,Friday,RV Center,267,4.1,3446.97,Sunny
10/5/2024,Saturday,One-day visit,211,3.2,2352.65,Rainy
10/5/2024,Saturday,Camping,105,4.1,1773.45,Rainy
10/5/2024,Saturday,RV Center,486,3.1,8966.7,Rainy
10/6/2024,Sunday,One-day visit,443,2.9,3127.58,Rainy
10/6/2024,Sunday,Camping,181,1.2,1006.36,Rainy
10/6/2024,Sunday,RV Center,61,1.7,719.19,Rainy
10/7/2024,Monday,One-day visit,221,4.1,3138.2,Cloudy
10/7/2024,Monday,Camping,136,3.2,2483.36,Cloudy
10/7/2024,Monday,RV Center,352,4.2,4114.88,Cloudy
10/8/2024,Tuesday,One-day visit,70,4.5,1070.3,Sunny
10/8/2024,Tuesday,Camping,140,4.9,1283.8,Sunny
10/8/2024,Tuesday,RV Center,40,3.9,560.8,Sunny
10/9/2024,Wednesday,One-day visit,456,4.6,5120.88,Stormy
10/9/2024,Wednesday,Camping,285,1.9,3026.7,Stormy
10/9/2024,Wednesday,RV Center,272,4.9,5100,Stormy
10/10/2024,Thursday,One-day visit,455,4.7,5760.3,Sunny
10/10/2024,Thursday,Camping,143,4.4,890.89,Sunny
10/10/2024,Thursday,RV Center,101,1.6,1982.63,Sunny
10/11/2024,Friday,One-day visit,237,3.9,2678.1,Snowy
10/11/2024,Friday,Camping,42,4.3,776.16,Snowy
10/11/2024,Friday,RV Center,422,4,7228.86,Snowy
10/12/2024,Saturday,One-day visit,399,3.4,5937.12,Cloudy
10/12/2024,Saturday,Camping,31,2.6,273.42,Cloudy
10/12/2024,Saturday,RV Center,402,2.3,2729.58,Cloudy
10/13/2024,Sunday,One-day visit,377,1.7,5425.03,Cloudy
10/13/2024,Sunday,Camping,17,3.9,333.71,Cloudy
10/13/2024,Sunday,RV Center,217,2.7,3838.73,Cloudy
10/14/2024,Monday,One-day visit,381,4.6,4907.28,Sunny
10/14/2024,Monday,Camping,166,3.4,1201.84,Sunny
10/14/2024,Monday,RV Center,50,2.9,707,Sunny
10/15/2024,Tuesday,One-day visit,70,1.7,652.4,Cloudy
10/15/2024,Tuesday,Camping,14,2.9,145.32,Cloudy
10/15/2024,Tuesday,RV Center,252,1.6,3588.48,Cloudy
10/16/2024,Wednesday,One-day visit,450,2.3,8748,Cloudy
10/16/2024,Wednesday,Camping,334,1.2,5320.62,Cloudy
10/16/2024,Wednesday,RV Center,406,1.9,3670.24,Cloudy
10/17/2024,Thursday,One-day visit,193,4.5,3570.5,Rainy
10/17/2024,Thursday,Camping,43,4.8,504.39,Rainy
10/17/2024,Thursday,RV Center,53,4.1,984.74,Rainy
10/18/2024,Friday,One-day visit,478,2.7,3575.44,Snowy
10/18/2024,Friday,Camping,330,3.2,5286.6,Snowy
10/18/2024,Friday,RV Center,234,1.2,2691,Snowy
10/19/2024,Saturday,One-day visit,83,2.9,1560.4,Stormy
10/19/2024,Saturday,Camping,461,3.7,5232.35,Stormy
10/19/2024,Saturday,RV Center,225,1,2376,Stormy
10/20/2024,Sunday,One-day visit,177,4.6,2387.73,Rainy
10/20/2024,Sunday,Camping,71,1.4,401.86,Rainy
10/20/2024,Sunday,RV Center,390,2.6,5358.6,Rainy
10/21/2024,Monday,One-day visit,153,4.5,2724.93,Rainy
10/21/2024,Monday,Camping,95,1.5,1055.45,Rainy
10/21/2024,Monday,RV Center,69,4.8,559.59,Rainy
10/22/2024,Tuesday,One-day visit,253,2.6,1338.37,Snowy
10/22/2024,Tuesday,Camping,143,2.9,1265.55,Snowy
10/22/2024,Tuesday,RV Center,147,2.4,2528.4,Snowy
10/23/2024,Wednesday,One-day visit,170,4.3,1948.2,Snowy
10/23/2024,Wednesday,Camping,90,1.1,749.7,Snowy
10/23/2024,Wednesday,RV Center,412,4.9,3625.6,Snowy
10/24/2024,Thursday,One-day visit,38,2.8,483.74,Rainy
10/24/2024,Thursday,Camping,401,2.7,5597.96,Rainy
10/24/2024,Thursday,RV Center,96,2.1,590.4,Rainy
10/25/2024,Friday,One-day visit,159,1.2,1124.13,Sunny
10/25/2024,Friday,Camping,220,4.9,3786.2,Sunny
10/25/2024,Friday,RV Center,242,1.2,1536.7,Sunny
10/26/2024,Saturday,One-day visit,292,1.5,5171.32,Sunny
10/26/2024,Saturday,Camping,131,2.7,1942.73,Sunny
10/26/2024,Saturday,RV Center,143,2.5,1681.68,Sunny
10/27/2024,Sunday,One-day visit,408,2.6,5340.72,Cloudy
10/27/2024,Sunday,Camping,364,4.3,5409.04,Cloudy
10/27/2024,Sunday,RV Center,205,1.1,3675.65,Cloudy
10/28/2024,Monday,One-day visit,196,3,2706.76,Stormy
10/28/2024,Monday,Camping,155,3.1,1984,Stormy
10/28/2024,Monday,RV Center,491,2.4,3702.14,Stormy
10/29/2024,Tuesday,One-day visit,496,3.2,6859.68,Rainy
10/29/2024,Tuesday,Camping,22,2.2,190.96,Rainy
10/29/2024,Tuesday,RV Center,111,2.6,690.42,Rainy
10/30/2024,Wednesday,One-day visit,306,1.5,3280.32,Cloudy
10/30/2024,Wednesday,Camping,391,4.9,2979.42,Cloudy
10/30/2024,Wednesday,RV Center,64,4.4,1220.48,Cloudy
10/31/2024,Thursday,One-day visit,265,3.7,1664.2,Snowy
10/31/2024,Thursday,Camping,108,2.7,795.96,Snowy
10/31/2024,Thursday,RV Center,402,3.9,7830.96,Snowy
11/1/2024,Friday,One-day visit,466,2.6,3294.62,Sunny
11/1/2024,Friday,Camping,320,2.1,4771.2,Sunny
11/1/2024,Friday,RV Center,241,4.8,4552.49,Sunny
11/2/2024,Saturday,One-day visit,342,3.5,3543.12,Sunny
11/2/2024,Saturday,Camping,498,1.1,9646.26,Sunny
11/2/2024,Saturday,RV Center,360,4.4,1846.8,Sunny
11/3/2024,Sunday,One-day visit,74,3.1,1444.48,Snowy
11/3/2024,Sunday,Camping,417,4.2,5992.29,Snowy
11/3/2024,Sunday,RV Center,412,4.5,3703.88,Snowy
11/4/2024,Monday,One-day visit,42,1.3,637.14,Snowy
11/4/2024,Monday,Camping,63,3.5,391.86,Snowy
11/4/2024,Monday,RV Center,136,4.3,2229.04,Snowy
11/5/2024,Tuesday,One-day visit,149,3.1,2461.48,Sunny
11/5/2024,Tuesday,Camping,261,3.2,4737.15,Sunny
11/5/2024,Tuesday,RV Center,122,2.7,1283.44,Sunny
11/6/2024,Wednesday,One-day visit,444,1.7,5949.6,Snowy
11/6/2024,Wednesday,Camping,288,3.3,4432.32,Snowy
11/6/2024,Wednesday,RV Center,10,3,53.1,Snowy
11/7/2024,Thursday,One-day visit,260,3.4,4739.8,Sunny
11/7/2024,Thursday,Camping,248,2.9,4429.28,Sunny
11/7/2024,Thursday,RV Center,137,1.8,2096.1,Sunny
11/8/2024,Friday,One-day visit,489,2,9002.49,Stormy
11/8/2024,Friday,Camping,193,3,3580.15,Stormy
11/8/2024,Friday,RV Center,177,2.6,2148.78,Stormy
11/9/2024,Saturday,One-day visit,411,1.3,6617.1,Snowy
11/9/2024,Saturday,Camping,304,4.5,2100.64,Snowy
11/9/2024,Saturday,RV Center,103,4.5,1496.59,Snowy
11/10/2024,Sunday,One-day visit,177,1.5,3028.47,Sunny
11/10/2024,Sunday,Camping,51,2.7,804.27,Sunny
11/10/2024,Sunday,RV Center,425,2.9,2435.25,Sunny
11/11/2024,Monday,One-day visit,480,4.3,3235.2,Snowy
11/11/2024,Monday,Camping,110,2.2,1910.7,Snowy
11/11/2024,Monday,RV Center,75,3.7,947.25,Snowy
11/12/2024,Tuesday,One-day visit,493,1.5,7572.48,Stormy
11/12/2024,Tuesday,Camping,275,1.1,2780.25,Stormy
11/12/2024,Tuesday,RV Center,431,2.6,6245.19,Stormy
11/13/2024,Wednesday,One-day visit,359,2.1,2850.46,Sunny
11/13/2024,Wednesday,Camping,317,2.6,4900.82,Sunny
11/13/2024,Wednesday,RV Center,73,4.6,1139.53,Sunny
11/14/2024,Thursday,One-day visit,465,4.1,4929,Sunny
11/14/2024,Thursday,Camping,321,4.3,2982.09,Sunny
11/14/2024,Thursday,RV Center,313,4.9,4607.36,Sunny
11/15/2024,Friday,One-day visit,375,4.1,3705,Sunny
11/15/2024,Friday,Camping,434,4.2,8311.1,Sunny
11/15/2024,Friday,RV Center,391,2.9,6615.72,Sunny
11/16/2024,Saturday,One-day visit,370,3.2,6678.5,Cloudy
11/16/2024,Saturday,Camping,397,3.2,5974.85,Cloudy
11/16/2024,Saturday,RV Center,130,4.8,1342.9,Cloudy
11/17/2024,Sunday,One-day visit,444,4,3960.48,Stormy
11/17/2024,Sunday,Camping,111,4.1,1526.25,Stormy
11/17/2024,Sunday,RV Center,275,1,5172.75,Stormy
11/18/2024,Monday,One-day visit,353,1.8,4458.39,Stormy
11/18/2024,Monday,Camping,57,2.7,395.58,Stormy
11/18/2024,Monday,RV Center,446,3.1,3996.16,Stormy
11/19/2024,Tuesday,One-day visit,448,3.8,8848,Stormy
11/19/2024,Tuesday,Camping,298,1.5,3492.56,Stormy
11/19/2024,Tuesday,RV Center,165,2.1,1496.55,Stormy
11/20/2024,Wednesday,One-day visit,109,2.2,1615.38,Stormy
11/20/2024,Wednesday,Camping,433,2.5,8413.19,Stormy
11/20/2024,Wednesday,RV Center,461,4.2,6891.95,Stormy
11/21/2024,Thursday,One-day visit,127,1.3,1069.34,Rainy
11/21/2024,Thursday,Camping,486,4.5,2877.12,Rainy
11/21/2024,Thursday,RV Center,24,4.9,256.08,Rainy
11/22/2024,Friday,One-day visit,175,2.3,953.75,Snowy
11/22/2024,Friday,Camping,222,1.1,3567.54,Snowy
11/22/2024,Friday,RV Center,87,3.8,870.87,Snowy
11/23/2024,Saturday,One-day visit,95,2.2,1279.65,Sunny
11/23/2024,Saturday,Camping,450,1.7,6759,Sunny
11/23/2024,Saturday,RV Center,244,2.4,2418.04,Sunny
11/24/2024,Sunday,One-day visit,170,4.3,1778.2,Sunny
11/24/2024,Sunday,Camping,107,1.6,1787.97,Sunny
11/24/2024,Sunday,RV Center,85,3,927.35,Sunny
11/25/2024,Monday,One-day visit,476,3.2,5826.24,Cloudy
11/25/2024,Monday,Camping,368,4.5,4368.16,Cloudy
11/25/2024,Monday,RV Center,440,2.8,8162,Cloudy
11/26/2024,Tuesday,One-day visit,157,1.6,973.4,Cloudy
11/26/2024,Tuesday,Camping,81,2.6,916.11,Cloudy
11/26/2024,Tuesday,RV Center,195,3.5,2712.45,Cloudy
11/27/2024,Wednesday,One-day visit,28,4.2,303.8,Cloudy
11/27/2024,Wednesday,Camping,153,3.5,2558.16,Cloudy
11/27/2024,Wednesday,RV Center,261,4.6,1806.12,Cloudy
11/28/2024,Thursday,One-day visit,340,3.7,5038.8,Stormy
11/28/2024,Thursday,Camping,383,2.2,3462.32,Stormy
11/28/2024,Thursday,RV Center,68,4.9,788.12,Stormy
11/29/2024,Friday,One-day visit,158,1.7,2351.04,Snowy
11/29/2024,Friday,Camping,103,3.8,1300.89,Snowy
11/29/2024,Friday,RV Center,289,1.5,3375.52,Snowy
11/30/2024,Saturday,One-day visit,128,1.5,1091.84,Sunny
11/30/2024,Saturday,Camping,24,3.4,169.92,Sunny
11/30/2024,Saturday,RV Center,209,2.6,1613.48,Sunny
12/1/2024,Sunday,One-day visit,423,2.3,3079.44,Snowy
12/1/2024,Sunday,Camping,16,4.3,92.48,Snowy
12/1/2024,Sunday,RV Center,399,4.9,6643.35,Snowy
12/2/2024,Monday,One-day visit,32,1.5,354.24,Sunny
12/2/2024,Monday,Camping,301,2.3,2260.51,Sunny
12/2/2024,Monday,RV Center,428,4,4904.88,Sunny
12/3/2024,Tuesday,One-day visit,202,5,2114.94,Sunny
12/3/2024,Tuesday,Camping,499,2.2,4950.08,Sunny
12/3/2024,Tuesday,RV Center,25,2.9,132.75,Sunny
12/4/2024,Wednesday,One-day visit,450,4.1,3519,Cloudy
12/4/2024,Wednesday,Camping,394,4.1,5098.36,Cloudy
12/4/2024,Wednesday,RV Center,378,1.1,5454.54,Cloudy
12/5/2024,Thursday,One-day visit,263,2.4,4820.79,Rainy
12/5/2024,Thursday,Camping,413,1.3,7165.55,Rainy
12/5/2024,Thursday,RV Center,56,2.5,283.92,Rainy
12/6/2024,Friday,One-day visit,471,4.6,5016.15,Sunny
12/6/2024,Friday,Camping,224,4.6,3662.4,Sunny
12/6/2024,Friday,RV Center,68,2.9,875.16,Sunny
12/7/2024,Saturday,One-day visit,423,3.2,7580.16,Stormy
12/7/2024,Saturday,Camping,364,2.4,7050.68,Stormy
12/7/2024,Saturday,RV Center,459,1.8,6352.56,Stormy
12/8/2024,Sunday,One-day visit,224,1.5,2549.12,Snowy
12/8/2024,Sunday,Camping,138,1,2588.88,Snowy
12/8/2024,Sunday,RV Center,468,2.2,5007.6,Snowy
12/9/2024,Monday,One-day visit,481,2.2,5084.17,Rainy
12/9/2024,Monday,Camping,276,5,1512.48,Rainy
12/9/2024,Monday,RV Center,43,4.5,525.46,Rainy
12/10/2024,Tuesday,One-day visit,77,4.2,940.94,Snowy
12/10/2024,Tuesday,Camping,237,3.7,2500.35,Snowy
12/10/2024,Tuesday,RV Center,392,4,6550.32,Snowy
12/11/2024,Wednesday,One-day visit,79,2.7,1196.06,Cloudy
12/11/2024,Wednesday,Camping,196,4.8,2587.2,Cloudy
12/11/2024,Wednesday,RV Center,20,3.6,271.6,Cloudy
12/12/2024,Thursday,One-day visit,450,5,7146,Stormy
12/12/2024,Thursday,Camping,193,3.2,2084.4,Stormy
12/12/2024,Thursday,RV Center,243,3.8,3003.48,Stormy
12/13/2024,Friday,One-day visit,187,4.8,1251.03,Snowy
12/13/2024,Friday,Camping,156,2.7,1020.24,Snowy
12/13/2024,Friday,RV Center,276,3.5,2889.72,Snowy
12/14/2024,Saturday,One-day visit,363,1.2,2951.19,Stormy
12/14/2024,Saturday,Camping,429,3.8,7082.79,Stormy
12/14/2024,Saturday,RV Center,448,4.8,3180.8,Stormy
12/15/2024,Sunday,One-day visit,194,3.7,1352.18,Stormy
12/15/2024,Sunday,Camping,480,1.1,6129.6,Stormy
12/15/2024,Sunday,RV Center,450,2,8154,Stormy
12/16/2024,Monday,One-day visit,280,4.3,2055.2,Cloudy
12/16/2024,Monday,Camping,439,3.9,5386.53,Cloudy
12/16/2024,Monday,RV Center,432,3.7,2911.68,Cloudy
12/17/2024,Tuesday,One-day visit,162,3.9,989.82,Cloudy
12/17/2024,Tuesday,Camping,141,4.3,1370.52,Cloudy
12/17/2024,Tuesday,RV Center,423,4.7,5680.89,Cloudy
12/18/2024,Wednesday,One-day visit,146,3.7,2749.18,Snowy
12/18/2024,Wednesday,Camping,424,3.7,5109.2,Snowy
12/18/2024,Wednesday,RV Center,435,2.2,4167.3,Snowy
12/19/2024,Thursday,One-day visit,12,1.4,131.52,Cloudy
12/19/2024,Thursday,Camping,437,4.1,2923.53,Cloudy
12/19/2024,Thursday,RV Center,274,3.7,4814.18,Cloudy
12/20/2024,Friday,One-day visit,203,2.2,2036.09,Cloudy
12/20/2024,Friday,Camping,91,1.5,1328.6,Cloudy
12/20/2024,Friday,RV Center,309,1.3,3862.5,Cloudy
12/21/2024,Saturday,One-day visit,294,1.9,5733,Rainy
12/21/2024,Saturday,Camping,184,4,1854.72,Rainy
12/21/2024,Saturday,RV Center,305,4,2485.75,Rainy
12/22/2024,Sunday,One-day visit,427,1.7,6503.21,Rainy
12/22/2024,Sunday,Camping,400,4.6,7216,Rainy
12/22/2024,Sunday,RV Center,128,4,2085.12,Rainy
12/23/2024,Monday,One-day visit,308,2.3,4863.32,Snowy
12/23/2024,Monday,Camping,457,1.7,3253.84,Snowy
12/23/2024,Monday,RV Center,239,4.2,2189.24,Snowy
12/24/2024,Tuesday,One-day visit,228,4.5,2706.36,Rainy
12/24/2024,Tuesday,Camping,459,4.5,7403.67,Rainy
12/24/2024,Tuesday,RV Center,369,4.8,2350.53,Rainy
12/25/2024,Wednesday,One-day visit,309,2.2,4205.49,Stormy
12/25/2024,Wednesday,Camping,300,1.8,4095,Stormy
12/25/2024,Wednesday,RV Center,360,4.2,3967.2,Stormy
12/26/2024,Thursday,One-day visit,152,2.9,2447.2,Stormy
12/26/2024,Thursday,Camping,300,4.2,1623,Stormy
12/26/2024,Thursday,RV Center,333,4.9,5387.94,Stormy
12/27/2024,Friday,One-day visit,55,3.6,356.4,Rainy
12/27/2024,Friday,Camping,125,1.5,2310,Rainy
12/27/2024,Friday,RV Center,35,3.3,359.45,Rainy
12/28/2024,Saturday,One-day visit,59,3.5,675.55,Sunny
12/28/2024,Saturday,Camping,433,4.2,8183.7,Sunny
12/28/2024,Saturday,RV Center,455,1.6,7352.8,Sunny
12/29/2024,Sunday,One-day visit,388,2.4,3806.28,Rainy
12/29/2024,Sunday,Camping,200,1.4,3818,Rainy
12/29/2024,Sunday,RV Center,11,3.5,129.03,Rainy
12/30/2024,Monday,One-day visit,105,4.2,1845.9,Cloudy
12/30/2024,Monday,Camping,209,1.9,2459.93,Cloudy
12/30/2024,Monday,RV Center,177,2.3,1805.4,Cloudy
12/31/2024,Tuesday,One-day visit,334,2.1,4739.46,Sunny
12/31/2024,Tuesday,Camping,426,4.4,7182.36,Sunny
12/31/2024,Tuesday,RV Center,289,4.3,5430.31,Sunny
